2019-07-20 11:15:27.203 [main] INFO  com.group2.FileShare.FileShareApplication - Starting FileShareApplication on Babatundes-MacBook-Pro-3.local with PID 38208 (/Users/babatunde/Desktop/Spring/MainGroup2/target/classes started by babatunde in /Users/babatunde/Desktop/Spring/MainGroup2)
2019-07-20 11:15:27.642 [main] INFO  com.group2.FileShare.FileShareApplication - No active profile set, falling back to default profiles: default
2019-07-20 11:15:29.016 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2019-07-20 11:15:29.362 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2019-07-20 11:15:29.689 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-07-20 11:15:29.952 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.19]
2019-07-20 11:15:30.314 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-07-20 11:15:30.530 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2558 ms
2019-07-20 11:15:31.865 [main] INFO  org.springframework.boot.autoconfigure.security.servlet.UserDetailsServiceAutoConfiguration - 

Using generated security password: fb97c0bf-88be-419c-a370-5519a98b0db6

2019-07-20 11:15:32.213 [main] INFO  org.springframework.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3138953b, org.springframework.security.web.context.SecurityContextPersistenceFilter@7c2924d7, org.springframework.security.web.header.HeaderWriterFilter@6bfaa0a6, org.springframework.security.web.authentication.logout.LogoutFilter@6198e9b5, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6587305a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3eb3232b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@27df95e, org.springframework.security.web.session.SessionManagementFilter@7eb200ce, org.springframework.security.web.access.ExceptionTranslationFilter@949c598]
2019-07-20 11:15:32.680 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-07-20 11:15:33.181 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2019-07-20 11:15:33.454 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2019-07-20 11:15:33.814 [main] INFO  com.group2.FileShare.FileShareApplication - Started FileShareApplication in 6.903 seconds (JVM running for 7.585)
2019-07-20 11:15:40.385 [http-nio-8080-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2019-07-20 11:15:40.767 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2019-07-20 11:15:41.058 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 11 ms
